Latitude,Longitude,Grid,Releve
53.19798728451133,-7.084028162062168,10,51
53.197586042806506,-7.083786930888891,11,52
53.19730365648866,-7.083681738004088,11,53
53.19680359214544,-7.083363560959697,12,54
53.19652933627367,-7.083512842655182,12,55
53.20114206522703,-7.086172169074416,13,56
53.200348424725235,-7.085792133584619,14,57
53.1993260839954,-7.0853253453969955,15,58
53.19837553426623,-7.08488043397665,16,59
53.197447741404176,-7.08436444401741,17,60
53.19650737568736,-7.083758683875203,18,61
53.1961573055014,-7.084219353273511,18,62
53.19708882831037,-7.084754789248109,17,63
53.19795032031834,-7.0854218211025,16,64
53.198929955251515,-7.08604384213686,15,65
53.19989123381674,-7.086684638634324,14,66
53.20064317435026,-7.087239688262343,13,67
53.200399219058454,-7.088376022875309,19,68
53.19936455693096,-7.087811920791864,20,69
